Bairro;Latitude;Longitude
INGLESES DO RIO VERMELHO;-27.4399071;-48.401143
CENTRO;-27.5972029;-48.5494815
BARRA DA LAGOA;-27.574778;-48.4258352
CAMPECHE;-27.6859258;-48.4803787
CANASVIEIRAS;-27.4295668;-48.4602439
TRINDADE;-27.5893834;-48.5224004
TAPERA;-27.7880641;-48.5612752
ITACORUBI;-27.5815804;-48.5044255
ESTREITO;-27.5907313;-48.57797
LAGOA DA CONCEICAO;-27.5697194;-48.4515809
SAO JOAO DO RIO VERMELHO;-27.4838064;-48.4096375
CAPOEIRAS;-27.5973329;-48.5900084
SACO GRANDE;-27.5428005;-48.5005262
AGRONOMICA;-27.5781447;-48.5357168
VARGEM GRANDE;-27.462082;-48.4485196
RIO TAVARES;-27.657679;-48.5203756
CACHOEIRA DO BOM JESUS;-27.4265307;-48.4236749
RIBEIRAO DA ILHA;-27.7038927;-48.5286314
COQUEIROS;-27.6112016;-48.5808439
MONTE VERDE;-27.5595039;-48.4961059
RIO VERMELHO;-27.7880602;-48.778212
RATONES;-27.5045161;-48.4903989
CARIANOS;-27.6640339;-48.5386679
PANTANO DO SUL;-27.7798797;-48.5072329
JARDIM ATLANTICO;-27.5754924;-48.5967993
MONTE CRISTO;-27.5906209;-48.6013611
VARGEM DO BOM JESUS;-27.4469586;-48.4290406
ARMACAO DO PANTANO DO SUL;-27.749039;-48.5076867
CORREGO GRANDE;-27.5997109;-48.5021999
ABRAAO;-27.6063282;-48.5935237
PONTA DAS CANAS;-27.3964294;-48.4274285
JURERE;-27.4350903;-48.5073725
JOAO PAULO;-27.5601512;-48.511257
COLONINHA;-27.5890981;-48.5935081
SAMBAQUI;-27.4924025;-48.5268313
SACO DOS LIMOES;-27.6082677;-48.5343435
PANTANAL;-27.6085776;-48.5211424
DANIELA;-27.4489537;-48.5312504
CARVOEIRA;-27.6035661;-48.5280992
BALNEARIO;-27.5795963;-48.5811379
SANTO ANTONIO DE LISBOA;-27.5061508;-48.5188698
JOSE MENDES;-27.6122607;-48.5462739
CANTO;-27.5867969;-48.5862206
COSTEIRA DO PIRAJUBAE;-27.6341752;-48.5227973
PONTA DAS CANAS;-27.3964294;-48.4274285
SANTA MONICA;-27.5899277;-48.5097027
MORRO DAS PEDRAS;-27.7143295;-48.5065495
SANTINHO;-27.4537409;-48.3791116
TAPERA DA BASE;-27.6868132;-48.5640627
JURERE INTERNACIONAL;-27.4402665;-48.5027484
SACO GRANDE II;-27.5428005;-48.5005262
SERRINHA;-27.5967024;-48.5270263
CACHOEIRA BOM JESUS;-27.4265307;-48.4236749
PRAIA BRAVA;-27.3976128;-48.4158254
STO ANTONIO LISBOA;-27.5061508;-48.5188698
VARGEM PEQUENA;-27.4744795;-48.4616756
LAGOINHA;-27.3889333;-48.4270672
