Bairro;Total_Empresas;Atendidas
INGLESES DO RIO VERMELHO;54;15
CENTRO;41;15
BARRA DA LAGOA;29;12
CAMPECHE;28;9
CANASVIEIRAS;27;10
TRINDADE;21;5
TAPERA;16;7
ITACORUBI;12;4
ESTREITO;17;7
LAGOA DA CONCEICAO;15;3
SAO JOAO DO RIO VERMELHO;15;8
CAPOEIRAS;14;8
SACO GRANDE;12;1
AGRONOMICA;14;7
VARGEM GRANDE;13;3
RIO TAVARES;12;3
CACHOEIRA DO BOM JESUS;10;4
RIBEIRAO DA ILHA;9;6
COQUEIROS;7;5
MONTE VERDE;7;2
RIO VERMELHO;8;1
RATONES;4;1
CARIANOS;5;2
PANTANO DO SUL;5;0
JARDIM ATLANTICO;5;2
MONTE CRISTO;7;4
VARGEM DO BOM JESUS;8;3
ARMACAO DO PANTANO DO SUL;7;1
CORREGO GRANDE;5;1
ABRAAO;7;2
PONTA DAS CANAS;6;3
JURERE;6;2
JOAO PAULO;5;1
COLONINHA;5;1
SAMBAQUI;5;2
SACO DOS LIMOES;3;0
PANTANAL;3;1
DANIELA;5;4
CARVOEIRA;5;3
BALNEARIO;2;2
SANTO ANTONIO DE LISBOA;2;2
JOSE MENDES;3;1
CANTO;1;1
COSTEIRA DO PIRAJUBAE;4;1
PONTA DAS CANAS;6;3
SANTA MONICA;2;1
MORRO DAS PEDRAS;3;2
SANTINHO;2;2
TAPERA DA BASE;2;2
JURERE INTERNACIONAL;1;0
SACO GRANDE II;2;0
SERRINHA;2;0
CACHOEIRA BOM JESUS;2;2
PRAIA BRAVA;1;0
STO ANTONIO LISBOA;1;0
VARGEM PEQUENA;1;0
LAGOINHA;;
